E,flux
14.576000,425.645640
14.595000,423.330120
14.614000,421.014600
14.633000,418.699080
14.651000,416.375520
14.670000,414.051960
14.689000,411.728400
14.708000,409.396800
14.726000,407.073240
14.745000,404.741640
14.764000,402.402000
14.783000,400.070400
14.802000,397.730760
14.820000,395.391120
14.839000,393.051480
14.858000,390.711840
14.877000,388.364160
14.895000,386.016480
14.914000,383.668800
14.933000,381.321120
14.952000,378.973440
14.971000,376.625760
14.989000,374.270040
15.008000,371.922360
15.027000,369.566640
15.046000,367.210920
15.065000,364.863240
15.083000,362.507520
15.102000,360.143760
15.121000,357.788040
15.140000,355.432320
15.158000,353.076600
15.177000,350.720880
15.196000,348.365160
15.215000,346.001400
15.234000,343.645680
15.252000,341.289960
15.271000,338.926200
15.290000,336.570480
15.309000,334.214760
15.328000,331.859040
15.346000,329.503320
15.365000,327.147600
15.384000,324.791880
15.403000,322.436160
15.421000,320.080440
15.440000,317.732760
15.459000,315.377040
15.478000,313.029360
15.497000,310.681680
15.515000,308.325960
15.534000,305.986320
15.553000,303.638640
15.572000,301.290960
15.590000,298.951320
15.609000,296.611680
15.628000,294.272040
15.647000,291.932400
15.666000,289.592760
15.684000,287.261160
15.703000,284.929560
15.722000,282.597960
15.741000,280.274400
15.760000,277.950840
15.778000,275.627280
15.797000,273.303720
15.816000,270.988200
15.835000,268.672680
15.853000,266.357160
15.872000,264.049680
15.891000,261.742200
15.910000,259.442760
15.929000,257.143320
15.947000,254.843880
15.966000,252.552480
15.985000,250.261080
16.004000,247.977720
16.023000,245.694360
16.041000,243.411000
16.060000,241.135680
16.079000,238.868400
16.098000,236.601120
16.116000,234.333840
16.135000,232.074600
16.154000,229.815360
16.173000,227.564160
16.192000,225.321000
16.210000,223.077840
16.229000,220.842720
16.248000,218.607600
16.267000,216.380520
16.285000,214.153440
16.304000,211.934400
16.323000,209.723400
16.342000,207.512400
16.361000,205.317480
16.379000,203.114520
16.398000,200.927640
16.417000,198.740760
16.436000,196.553880
16.455000,194.383080
16.473000,192.212280
16.492000,190.049520
16.511000,187.894800
16.530000,185.740080
16.548000,183.593400
16.567000,181.454760
16.586000,179.324160
16.605000,177.201600
16.624000,175.079040
16.642000,172.972560
16.661000,170.866080
16.680000,168.767640
16.699000,166.677240
16.718000,164.586840
16.736000,162.512520
16.755000,160.446240
16.774000,158.379960
16.793000,156.329760
16.811000,154.279560
16.830000,152.245440
16.849000,150.211320
16.868000,148.185240
16.887000,146.175240
16.905000,144.165240
16.924000,142.163280
16.943000,140.177400
16.962000,138.191520
16.980000,136.221720
16.999000,134.251920
17.018000,132.298200
17.037000,130.352520
17.056000,128.414880
17.074000,126.485280
17.093000,124.563720
17.112000,122.658240
17.131000,120.752760
17.150000,118.863360
17.168000,116.982000
17.187000,115.108680
17.206000,113.243400
17.225000,111.394200
17.243000,109.553040
17.262000,107.719920
17.281000,105.902880
17.300000,104.085840
17.319000,102.284880
17.337000,100.500000
17.356000,98.715120
17.375000,96.946320
17.394000,95.193600
17.413000,93.440880
17.431000,91.712280
17.450000,89.983680
17.469000,88.271160
17.488000,86.574720
17.506000,84.878280
17.525000,83.205960
17.544000,81.533640
17.563000,79.882224
17.582000,78.240456
17.600000,76.609944
17.619000,74.992296
17.638000,73.386708
17.657000,71.793984
17.675000,70.213320
17.694000,68.645520
17.713000,67.090584
17.732000,65.548512
17.751000,64.019304
17.769000,62.503764
17.788000,61.001088
17.807000,59.512080
17.826000,58.035936
17.845000,56.574264
17.863000,55.125456
17.882000,53.691120
17.901000,52.269648
17.920000,50.863452
17.938000,49.470120
17.957000,48.092064
17.976000,46.727676
17.995000,45.377760
18.014000,44.043120
18.032000,42.722148
18.051000,41.416452
18.070000,40.125228
18.089000,38.849280
18.108000,37.588608
