E,flux
7.340000,640052.500000
7.360000,639123.000000
7.380000,638174.500000
7.400000,637217.000000
7.420000,636238.000000
7.440000,635237.000000
7.460000,634211.000000
7.480000,633170.000000
7.500000,632117.500000
7.520000,631044.000000
7.540000,629948.500000
7.560000,628827.500000
7.580000,627696.500000
7.600000,626551.500000
7.620000,625386.000000
7.640000,624198.500000
7.660000,622984.500000
7.680000,621765.500000
7.700000,620530.000000
7.720000,619274.000000
7.740000,617995.500000
7.760000,616690.000000
7.780000,615386.500000
7.800000,614062.500000
7.820000,612719.000000
7.840000,611353.500000
7.860000,609963.000000
7.880000,608573.000000
7.900000,607163.000000
7.920000,605733.500000
7.940000,604282.500000
7.960000,602809.500000
7.980000,601335.000000
8.000000,599842.000000
8.020000,598329.000000
8.040000,596794.000000
8.060000,595241.500000
8.080000,593685.500000
8.100000,592111.000000
8.120000,590517.000000
8.140000,588901.000000
8.160000,587271.500000
8.180000,585636.000000
8.200000,583982.000000
8.220000,582309.500000
8.240000,580614.000000
8.260000,578910.000000
8.280000,577198.000000
8.300000,575468.000000
8.320000,573719.000000
8.340000,571947.000000
8.360000,570172.500000
8.380000,568386.500000
8.400000,566583.000000
8.420000,564761.000000
8.440000,562915.000000
8.460000,561073.000000
8.480000,559216.000000
8.500000,557342.000000
8.520000,555450.000000
8.540000,553534.500000
8.560000,551625.500000
8.580000,549700.000000
8.600000,547758.500000
8.620000,545798.500000
8.640000,543819.500000
8.660000,541845.000000
8.680000,539854.500000
8.700000,537848.000000
8.720000,535823.000000
8.740000,533783.000000
8.760000,531745.500000
8.780000,529693.500000
8.800000,527625.000000
8.820000,525539.500000
8.840000,523442.000000
8.860000,521345.000000
8.880000,519233.000000
8.900000,517106.000000
8.920000,514960.000000
8.940000,512809.000000
8.960000,510654.500000
8.980000,508486.500000
9.000000,506303.000000
9.020000,504101.000000
9.040000,501899.000000
9.060000,499692.000000
9.080000,497471.500000
9.100000,495236.500000
9.120000,492980.500000
9.140000,490733.000000
9.160000,488476.000000
