E,flux
1.468700,143174920.000000
1.472200,141959570.000000
1.475700,140735300.000000
1.479100,139499880.000000
1.482600,138255540.000000
1.486100,137000050.000000
1.489500,135735640.000000
1.493000,134460080.000000
1.496400,133175600.000000
1.499900,131879970.000000
1.503400,130575420.000000
1.506800,129259720.000000
1.510300,127935100.000000
1.513800,126599330.000000
1.517200,125252410.000000
1.520700,123896570.000000
1.524200,122529580.000000
1.527600,121151440.000000
1.531100,119764380.000000
1.534600,118363940.000000
1.538000,116954580.000000
1.541500,115534070.000000
1.544900,114102410.000000
1.548400,112657370.000000
1.551900,111203410.000000
1.555300,109738300.000000
1.558800,108259810.000000
1.562300,106770170.000000
1.565700,105269380.000000
1.569200,103755210.000000
1.572700,102227660.000000
1.576100,100688960.000000
1.579600,99136880.000000
1.583000,97573650.000000
1.586500,95994810.000000
1.590000,94402590.000000
1.593400,92794760.000000
1.596900,91173550.000000
1.600400,89538960.000000
1.603800,87886530.000000
1.607300,86220720.000000
1.610800,84537070.000000
1.614200,82837810.000000
1.617700,81120710.000000
1.621200,79383540.000000
1.624600,77630760.000000
1.628100,75855680.000000
1.631500,74062760.000000
1.635000,72247540.000000
1.638500,70410020.000000
1.641900,68547970.000000
1.645400,66663620.000000
1.648900,64750280.000000
1.652300,62812410.000000
1.655800,60843320.000000
1.659300,58843010.000000
1.662700,56809250.000000
1.666200,54742040.000000
1.669600,52632460.000000
1.673100,50484970.000000
1.676600,48290650.000000
1.680000,46045040.000000
1.683500,43748140.000000
1.687000,41388800.000000
1.690400,38964790.000000
1.693900,36464960.000000
1.697400,33880390.000000
1.700800,31197700.000000
1.704300,28405740.000000
1.707800,25479980.000000
1.711200,22400350.000000
1.714700,19132508.000000
1.718100,15631185.000000
1.721600,11835948.000000
1.725100,7671423.000000
1.728500,3129359.000000
1.732000,0.000000
