E,flux
0.842160,4904188.800000
0.845640,4918209.600000
0.849120,4932009.600000
0.852600,4945644.000000
0.856080,4959057.600000
0.859560,4972250.400000
0.863040,4985222.400000
0.866520,4998028.800000
0.870000,5010559.200000
0.873480,5022924.000000
0.876960,5035068.000000
0.880440,5046991.200000
0.883920,5058693.600000
0.887400,5070175.200000
0.890880,5081436.000000
0.894360,5092476.000000
0.897840,5103295.200000
0.901320,5113948.800000
0.904800,5124326.400000
0.908280,5134483.200000
0.911760,5144419.200000
0.915240,5154134.400000
0.918720,5163628.800000
0.922200,5172902.400000
0.925680,5181900.000000
0.929160,5190732.000000
0.932640,5199288.000000
0.936120,5207678.400000
0.939600,5215792.800000
0.943080,5223686.400000
0.946560,5231304.000000
0.950040,5238756.000000
0.953520,5245932.000000
0.957000,5252887.200000
0.960480,5259621.600000
0.963960,5266080.000000
0.967440,5272372.800000
0.970920,5278389.600000
0.974400,5284130.400000
0.977880,5289650.400000
0.981360,5295004.800000
0.984840,5300028.000000
0.988320,5304885.600000
0.991800,5309467.200000
0.995280,5313772.800000
0.998760,5317857.600000
1.002200,5321721.600000
1.005700,5325364.800000
1.009200,5328732.000000
1.012700,5331823.200000
1.016200,5334693.600000
1.019600,5337343.200000
1.023100,5339716.800000
1.026600,5341869.600000
1.030100,5343801.600000
1.033600,5345402.400000
1.037000,5346837.600000
1.040500,5347996.800000
1.044000,5348880.000000
1.047500,5349542.400000
1.051000,5349984.000000
1.054400,5350094.400000
1.057900,5350039.200000
1.061400,5349708.000000
1.064900,5349100.800000
1.068400,5348272.800000
1.071800,5347168.800000
1.075300,5345844.000000
1.078800,5344243.200000
1.082300,5342366.400000
1.085800,5340268.800000
1.089200,5337950.400000
1.092700,5335356.000000
1.096200,5332485.600000
1.099700,5329394.400000
1.103200,5326027.200000
1.106600,5322384.000000
1.110100,5318520.000000
1.113600,5314380.000000
1.117100,5310019.200000
1.120600,5305382.400000
1.124000,5300524.800000
1.127500,5295336.000000
1.131000,5289981.600000
1.134500,5284296.000000
1.138000,5278389.600000
1.141400,5272262.400000
1.144900,5265859.200000
1.148400,5259180.000000
1.151900,5252224.800000
1.155400,5245048.800000
1.158800,5237596.800000
1.162300,5229924.000000
1.165800,5221975.200000
1.169300,5213750.400000
1.172800,5205304.800000
1.176200,5196583.200000
1.179700,5187640.800000
1.183200,5178422.400000
1.186700,5168928.000000
1.190200,5159212.800000
1.193600,5149221.600000
1.197100,5138954.400000
1.200600,5128466.400000
1.204100,5117702.400000
1.207600,5106717.600000
1.211000,5095456.800000
1.214500,5083920.000000
1.218000,5072107.200000
1.221500,5060128.800000
1.225000,5047819.200000
1.228400,5035288.800000
1.231900,5022482.400000
1.235400,5009455.200000
1.238900,4996152.000000
1.242400,4982572.800000
1.245800,4968772.800000
1.249300,4954752.000000
1.252800,4940400.000000
1.256300,4925882.400000
1.259800,4911033.600000
1.263200,4895964.000000
1.266700,4880673.600000
1.270200,4865052.000000
1.273700,4849264.800000
1.277200,4833146.400000
1.280600,4816862.400000
1.284100,4800247.200000
1.287600,4783411.200000
1.291100,4766354.400000
1.294600,4749021.600000
1.298000,4731468.000000
1.301500,4713638.400000
1.305000,4695532.800000
1.308500,4677206.400000
1.312000,4658659.200000
1.315400,4639836.000000
1.318900,4620736.800000
1.322400,4601416.800000
1.325900,4581876.000000
1.329400,4562059.200000
1.332800,4541966.400000
1.336300,4521652.800000
1.339800,4501118.400000
1.343300,4480308.000000
1.346800,4459276.800000
1.350200,4437969.600000
1.353700,4416441.600000
1.357200,4394637.600000
1.360700,4372612.800000
1.364200,4350367.200000
1.367600,4327845.600000
1.371100,4305103.200000
1.374600,4282084.800000
1.378100,4258845.600000
1.381600,4235330.400000
1.385000,4211594.400000
1.388500,4187637.600000
1.392000,4163404.800000
1.395500,4138951.200000
1.399000,4114276.800000
1.402400,4089326.400000
1.405900,4064155.200000
1.409400,4038708.000000
1.412900,4013040.000000
1.416400,3987151.200000
1.419800,3960986.400000
1.423300,3934600.800000
1.426800,3907994.400000
1.430300,3881112.000000
1.433800,3854008.800000
1.437200,3826629.600000
1.440700,3799084.800000
1.444200,3771208.800000
